County,Median_Income,AQ_Max,norm_income,norm_aq_max,norm_index
Alameda,43583.0,135.0,0.26813205857716416,0.20238095238095238,0.23525650547905827
Alameda,43583.0,96.0,0.26813205857716416,0.125,0.19656602928858208
Alameda,43583.0,119.0,0.26813205857716416,0.17063492063492064,0.2193834896060424
Alameda,43583.0,119.0,0.26813205857716416,0.17063492063492064,0.2193834896060424
Alameda,43583.0,124.0,0.26813205857716416,0.18055555555555555,0.22434380706635987
Alameda,43583.0,76.0,0.26813205857716416,0.08531746031746032,0.17672475944731225
Alameda,43583.0,159.0,0.26813205857716416,0.25,0.2590660292885821
Alameda,43583.0,223.0,0.26813205857716416,0.376984126984127,0.32255809278064557
Alameda,43583.0,87.0,0.26813205857716416,0.10714285714285714,0.18763745786001065
Amador,31160.0,140.0,0.6269605152941856,0.2123015873015873,0.41963105129788647
Amador,31160.0,140.0,0.6269605152941856,0.2123015873015873,0.41963105129788647
Amador,31160.0,140.0,0.6269605152941856,0.2123015873015873,0.41963105129788647
Amador,31160.0,140.0,0.6269605152941856,0.2123015873015873,0.41963105129788647
Amador,31160.0,140.0,0.6269605152941856,0.2123015873015873,0.41963105129788647
Amador,31160.0,140.0,0.6269605152941856,0.2123015873015873,0.41963105129788647
Amador,31160.0,140.0,0.6269605152941856,0.2123015873015873,0.41963105129788647
Amador,31160.0,140.0,0.6269605152941856,0.2123015873015873,0.41963105129788647
Amador,31160.0,140.0,0.6269605152941856,0.2123015873015873,0.41963105129788647
Butte,24067.0,141.0,0.8318361687992837,0.21428571428571427,0.5230609415424989
Butte,24067.0,86.0,0.8318361687992837,0.10515873015873016,0.4684974494790069
Butte,24067.0,109.0,0.8318361687992837,0.15079365079365079,0.49131490979646725
Butte,24067.0,153.0,0.8318361687992837,0.23809523809523808,0.5349657034472609
Butte,24067.0,110.0,0.8318361687992837,0.1527777777777778,0.49230697328853074
Butte,24067.0,105.0,0.8318361687992837,0.14285714285714285,0.48734665582821324
Butte,24067.0,125.0,0.8318361687992837,0.18253968253968253,0.5071879256694831
Butte,24067.0,441.0,0.8318361687992837,0.8095238095238095,0.8206799891615466
Butte,24067.0,98.0,0.8318361687992837,0.12896825396825398,0.4804022113837688
Calaveras,29124.0,140.0,0.6857687530689466,0.2123015873015873,0.44903517018526695
Calaveras,29124.0,140.0,0.6857687530689466,0.2123015873015873,0.44903517018526695
Calaveras,29124.0,140.0,0.6857687530689466,0.2123015873015873,0.44903517018526695
Calaveras,29124.0,140.0,0.6857687530689466,0.2123015873015873,0.44903517018526695
Calaveras,29124.0,140.0,0.6857687530689466,0.2123015873015873,0.44903517018526695
Calaveras,29124.0,140.0,0.6857687530689466,0.2123015873015873,0.44903517018526695
Calaveras,29124.0,140.0,0.6857687530689466,0.2123015873015873,0.44903517018526695
Calaveras,29124.0,140.0,0.6857687530689466,0.2123015873015873,0.44903517018526695
Calaveras,29124.0,140.0,0.6857687530689466,0.2123015873015873,0.44903517018526695
Colusa,27103.0,140.0,0.7441437277952687,0.2123015873015873,0.478222657548428
Colusa,27103.0,140.0,0.7441437277952687,0.2123015873015873,0.478222657548428
Colusa,27103.0,140.0,0.7441437277952687,0.2123015873015873,0.478222657548428
Colusa,27103.0,140.0,0.7441437277952687,0.2123015873015873,0.478222657548428
Colusa,27103.0,140.0,0.7441437277952687,0.2123015873015873,0.478222657548428
Colusa,27103.0,140.0,0.7441437277952687,0.2123015873015873,0.478222657548428
Colusa,27103.0,140.0,0.7441437277952687,0.2123015873015873,0.478222657548428
Colusa,27103.0,140.0,0.7441437277952687,0.2123015873015873,0.478222657548428
Colusa,27103.0,140.0,0.7441437277952687,0.2123015873015873,0.478222657548428
Fresno,25238.0,163.0,0.7980127668178273,0.25793650793650796,0.5279746373771677
Fresno,25238.0,171.0,0.7980127668178273,0.27380952380952384,0.5359111453136756
Fresno,25238.0,176.0,0.7980127668178273,0.2837301587301587,0.540871462773993
Fresno,25238.0,173.0,0.7980127668178273,0.2777777777777778,0.5378952722978025
Fresno,25238.0,164.0,0.7980127668178273,0.25992063492063494,0.5289667008692311
Fresno,25238.0,146.0,0.7980127668178273,0.22420634920634921,0.5111095580120882
Fresno,25238.0,168.0,0.7980127668178273,0.26785714285714285,0.5329349548374851
Fresno,25238.0,172.0,0.7980127668178273,0.2757936507936508,0.536903208805739
Fresno,25238.0,140.0,0.7980127668178273,0.2123015873015873,0.5051571770597073
Glenn,24329.0,140.0,0.8242685075532191,0.2123015873015873,0.5182850474274032
Glenn,24329.0,140.0,0.8242685075532191,0.2123015873015873,0.5182850474274032
Glenn,24329.0,140.0,0.8242685075532191,0.2123015873015873,0.5182850474274032
Glenn,24329.0,140.0,0.8242685075532191,0.2123015873015873,0.5182850474274032
Glenn,24329.0,140.0,0.8242685075532191,0.2123015873015873,0.5182850474274032
Glenn,24329.0,140.0,0.8242685075532191,0.2123015873015873,0.5182850474274032
Glenn,24329.0,140.0,0.8242685075532191,0.2123015873015873,0.5182850474274032
Glenn,24329.0,140.0,0.8242685075532191,0.2123015873015873,0.5182850474274032
Glenn,24329.0,140.0,0.8242685075532191,0.2123015873015873,0.5182850474274032
Humboldt,25114.0,78.0,0.8015944080182549,0.08928571428571429,0.4454400611519846
Humboldt,25114.0,72.0,0.8015944080182549,0.07738095238095238,0.4394876801996036
Humboldt,25114.0,85.0,0.8015944080182549,0.10317460317460317,0.452384505596429
Humboldt,25114.0,115.0,0.8015944080182549,0.1626984126984127,0.4821464103583338
Humboldt,25114.0,90.0,0.8015944080182549,0.1130952380952381,0.4573448230567465
