Counties,ArchiveYear,AcresBurned,Duration,Counties
Orange,2014,968.0,10 days,1
Orange,2015,214.0,2 days,1
Orange,2016,197.0,8 days,2
Orange,2017,11879.0,362 days,2
Orange,2018,23466.0,574 days,3
Placer,2013,27677.0,20 days,2
Placer,2014,593.0,8 days,3
Placer,2015,136.0,0 days,2
Placer,2016,5903.0,22 days,3
Placer,2018,1820.0,279 days,2
Placer,2019,1199.0,19 days,5
Plumas,2013,513.0,7 days,1
Plumas,2015,137.0,5 days,1
Plumas,2016,248.0,10 days,1
Plumas,2017,8170.0,716 days,5
Plumas,2018,137.0,403 days,2
Plumas,2019,54612.0,0 days,1
Riverside,2013,53919.0,36 days,19
Riverside,2014,630.0,4 days,6
Riverside,2015,1928.0,21 days,7
Riverside,2016,1822.0,10 days,4
Riverside,2017,16576.0,8812 days,52
Riverside,2018,15615.0,4839 days,25
Riverside,2019,6872.0,83 days,33
Sacramento,2013,163.0,0 days,1
Sacramento,2015,110.0,0 days,1
Sacramento,2016,159.0,2 days,3
Sacramento,2017,1389.0,585 days,3
Sacramento,2018,30.0,189 days,1
Sacramento,2019,134.0,0 days,2
San Benito,2013,354.0,0 days,1
San Benito,2015,695.0,4 days,2
San Benito,2016,445.0,4 days,4
San Benito,2017,102.0,466 days,3
San Benito,2018,2574.0,1579 days,8
San Benito,2019,184.0,1 days,2
San Bernardino,2013,1850.0,27 days,10
San Bernardino,2014,2191.0,6 days,2
San Bernardino,2015,35883.0,85 days,6
San Bernardino,2016,44454.0,19 days,4
San Bernardino,2017,4065.0,2728 days,17
San Bernardino,2018,1820.0,1005 days,7
San Bernardino,2019,634.0,11 days,7
San Diego,2013,13771.0,27 days,8
San Diego,2014,26315.0,50 days,13
San Diego,2015,2373.0,12 days,7
San Diego,2016,9115.0,33 days,7
San Diego,2017,10156.0,3294 days,20
San Diego,2018,2205.0,3273 days,17
San Diego,2019,1459.0,38 days,17
San Joaquin,2013,303.0,0 days,1
San Joaquin,2015,122.0,0 days,1
San Joaquin,2016,147.0,0 days,1
San Joaquin,2018,12362.0,396 days,2
San Joaquin,2019,417.0,2 days,3
San Luis Obispo,2013,815.0,3 days,6
San Luis Obispo,2014,47.0,1 days,1
San Luis Obispo,2015,4332.0,21 days,3
San Luis Obispo,2016,50292.0,43 days,5
San Luis Obispo,2017,35468.0,4222 days,25
San Luis Obispo,2018,2297.0,2445 days,14
San Luis Obispo,2019,5506.0,33 days,10
San Mateo,2013,41.0,0 days,1
San Mateo,2017,50.0,120 days,1
San Mateo,2019,62.0,3 days,1
Santa Barbara,2013,2154.0,4 days,2
Santa Barbara,2014,632.0,6 days,1
Santa Barbara,2015,284.0,-16638 days,3
Santa Barbara,2016,52813.0,70 days,4
Santa Barbara,2017,301035.0,1212 days,7
Santa Barbara,2018,1804.0,1656 days,8
Santa Barbara,2019,3846.0,36 days,4
Santa Clara,2013,90.0,0 days,2
Santa Clara,2014,205.0,4 days,2
Santa Clara,2015,257.0,4 days,2
Santa Clara,2016,4738.0,363 days,5
Santa Clara,2017,639.0,1377 days,8
Santa Clara,2018,756.0,1470 days,9
Santa Clara,2019,859.0,25 days,11
Santa Cruz,2017,391.0,85 days,1
Santa Cruz,2018,27.0,111 days,2
Santa Cruz,2019,10.0,3 days,1
Shasta,2013,8406.0,11 days,6
Shasta,2014,92739.0,174 days,9
Shasta,2015,638.0,12 days,7
Shasta,2016,686.0,8 days,6
Shasta,2017,1515.0,1757 days,11
Shasta,2018,343503.0,2446 days,16
Shasta,2019,1040.0,8 days,9
Sierra,2017,915.0,387 days,2
Siskiyou,2013,14844.0,31 days,3
Siskiyou,2014,123889.0,108 days,7
Siskiyou,2015,532.0,10 days,5
Siskiyou,2016,37574.0,166 days,7
Siskiyou,2017,149780.0,2693 days,16
Siskiyou,2018,38738.0,1890 days,10
Siskiyou,2019,2557.0,37 days,9
Solano,2013,152.0,4 days,2
Solano,2014,70.0,1 days,1
Solano,2015,190.0,2 days,2
Solano,2016,57.0,0 days,1
Solano,2017,51818.0,532 days,4
Solano,2018,8322.0,377 days,4
Solano,2019,458.0,11 days,5
Sonoma,2013,3975.0,12 days,5
Sonoma,2016,1547.0,4 days,1
Sonoma,2017,114397.0,1211 days,10
Sonoma,2018,10.0,213 days,1
Sonoma,2019,77758.0,14 days,1
Stanislaus,2013,150.0,1 days,1
Stanislaus,2014,37.0,2 days,1
Stanislaus,2015,40.0,0 days,1
Stanislaus,2016,360.0,3 days,3
Stanislaus,2017,7155.0,935 days,6
Stanislaus,2018,63.0,220 days,1
Stanislaus,2019,3478.0,7 days,7
State of Nevada,2019,1165.0,3 days,1
State of Oregon,2019,1301.0,9 days,1
Sutter,2016,300.0,0 days,1
Sutter,2018,1200.0,157 days,1
Sutter,2019,1350.0,9 days,1
Tehama,2013,18864.0,14 days,5
Tehama,2014,1090.0,8 days,2
Tehama,2015,335.0,1 days,3
Tehama,2016,1126.0,6 days,7
Tehama,2017,588.0,1595 days,11
Tehama,2018,12465.0,2435 days,14
Tehama,2019,17507.0,113 days,9
Trinity,2014,595.0,6 days,2
Trinity,2015,144705.0,57 days,7
Trinity,2017,40211.0,813 days,6
Trinity,2018,295013.0,598 days,4
Trinity,2019,524.0,18 days,2
Tulare,2013,2194.0,47 days,2
Tulare,2015,7496.0,59 days,3
Tulare,2016,4752.0,207 days,4
Tulare,2017,77178.0,2320 days,13
Tulare,2018,981.0,1094 days,6
Tulare,2019,1654.0,29 days,7
Tuolumne,2013,258484.0,29 days,3
Tuolumne,2014,826.0,3 days,3
Tuolumne,2015,424.0,14 days,3
Tuolumne,2016,1197.0,12 days,3
Tuolumne,2017,911.0,888 days,5
Tuolumne,2018,37186.0,468 days,3
Tuolumne,2019,104.0,1 days,2
Ventura,2013,28705.0,17 days,4
Ventura,2014,25.0,1 days,1
Ventura,2015,711.0,16 days,5
Ventura,2016,2512.0,6 days,6
Ventura,2017,282029.0,731 days,3
Ventura,2018,101816.0,576 days,5
Ventura,2019,12506.0,15 days,6
Yolo,2013,163.0,0 days,1
Yolo,2014,6488.0,8 days,1
Yolo,2016,6092.0,11 days,3
Yolo,2017,2269.0,187 days,1
Yolo,2018,91124.0,575 days,3
Yolo,2019,2545.0,9 days,3
Yuba,2013,73.0,0 days,1
Yuba,2015,188.0,6 days,2
Yuba,2016,400.0,0 days,1
Yuba,2017,10981.0,950 days,6
Yuba,2019,268.0,9 days,4
