County,TotalPopulation,TotalWhiteNotHispanic,TotalBlack,TotalAsian,TotalHispanicLatino,MedianIncome,MedianIncomeForeignBorn,TotalBelowPovertyLine,TotalForeignBornBelowPoveryLine,TotalHSDiploma,TotalBachelorsDegree,TotalPop16Above,TotalPop16AboveInLaborForce,TotalPop16AboveNotInLaborForce,TotalPopSurveyInsurance,TotalEmployedWithInsurance,TotalEmployedWithInsurancePrivate,TotalEmployedWithInsurancePublic,TotalEmployedNoInsurance,TotalUnemployedNoInsurance,TotalNotInLaborForceNoInsurance,FullCounty
San,767423,301123,17784,220151,187248,49128,41980.0,51085,20682,72718,159607,625917,431085,194832,763665,362921,334812,34348,19641,2073,6293,San Mateo County
Tuolumne,54045,43341,984,754,6617,29458,27404.0,6443,224,9702,5460,45972,22150,23822,50971,17005,14711,2893,1393,230,541,Tuolumne County
San,742603,236509,51931,115531,307463,29535,26813.0,105461,25329,116010,60276,562701,339798,222903,732477,268857,218071,58666,25840,3926,10855,San Joaquin County
Amador,38429,30035,904,508,5340,31160,30989.0,3451,305,7047,3979,33303,14738,18565,34742,11087,9601,1880,948,209,257,Amador County
Lake,64195,45258,1447,723,13224,25172,22518.0,11753,939,11805,4659,52349,26657,25692,63494,19219,13784,6500,2545,528,1166,Lake County
Yuba,76360,42145,2621,5201,21563,27877,24253.0,11572,1351,9499,5872,57263,33656,23607,74309,25588,20914,5926,2501,446,1640,Yuba County
Lassen,30818,20164,2686,428,5844,30814,24185.0,2830,92,5459,2080,26650,9249,17401,21190,7504,6747,1213,317,72,354,Lassen County
Sonoma,499772,316022,8269,20443,133569,36623,30498.0,45418,9009,57875,79864,412267,268613,143654,495516,209688,187933,27629,18945,1746,5465,Sonoma County
Imperial,180701,19228,4489,2680,152172,18245,16226.0,41100,13759,22355,11716,134294,70423,63871,170981,50959,36964,15511,6032,1960,3245,Imperial County
Alameda,1656754,520447,175751,499382,371019,43583,40843.0,161581,54065,186812,320319,1348945,905633,443312,1647749,767935,688493,93092,41252,4564,16196,Alameda County
Napa,139623,73210,2883,11352,47544,37953,30785.0,10614,3070,15395,22816,114315,74549,39766,137806,59787,54435,6940,4489,766,1644,Napa County
Sierra,3040,2662,2,0,324,28138,11324.0,291,0,704,205,2589,1339,1250,3013,923,799,151,151,48,65,Sierra County
Yolo,217352,101452,5847,30462,68704,30331,27659.0,39919,9802,19759,27562,176246,106130,70116,215938,86984,76942,11667,5819,1168,2541,Yolo County
Nevada,99244,84513,570,1073,9373,32359,32750.0,10844,442,11919,18412,84376,46329,38047,98232,34589,29004,6809,3575,395,1522,Nevada County
Mendocino,87224,56857,628,1805,21898,26784,21295.0,15251,2366,13636,9685,70884,41349,29535,86352,28418,21548,8445,4187,773,1443,Mendocino County
Los,10081570,2641770,820478,1473221,4888434,29985,25510.0,1480446,553580,1296682,1460862,8123894,5253694,2870200,10012895,4049389,3366147,769892,588450,60308,205209,Los Angeles County
Santa,1927470,607903,47992,702881,490978,47584,48852.0,142534,59394,167502,369625,1546443,1044507,501936,1917643,890259,817043,87259,47894,5176,18584,Santa Clara County
Siskiyou,43468,33081,695,708,5467,25576,21262.0,8102,484,7150,4859,35722,17834,17888,43356,13238,10182,3658,1351,203,670,Siskiyou County
Del,27495,17028,940,888,5429,23493,28059.0,4760,534,4868,1711,22152,9774,12378,24588,7385,5915,2089,698,98,437,Del Norte County
